0    [localhost-startStop-1] INFO  org.apache.solr.servlet.SolrDispatchFilter  每 SolrDispatchFilter.init()
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 created /suggest: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 adding lazy requestHandler: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 created /tvrh: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 adding lazy requestHandler: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 created /terms: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 adding lazy requestHandler: solr.SearchHandler
2390 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  每 created /elevate: solr.SearchHandler
2421 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  每 xsltCacheLifetimeSeconds=60
2421 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  每 xsltCacheLifetimeSeconds=60
2421 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  每 xsltCacheLifetimeSeconds=60
2452 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  每 Hard AutoCommit: if uncommited for 15000ms; 
2452 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  每 Soft AutoCommit: disabled
2530 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  每 SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@E:\program files\apache-tomcat-7.0.52\solr\data\index lockFactory=NativeFSLockFactory@E:\program files\apache-tomcat-7.0.52\solr\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_5,generation=5}
2530 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  每 newest commit generation = 5
2562 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  每 Opening Searcher@7c996ee8[collection1] main
2562 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  每 Initializing spell checkers
